,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,Scholarship: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,"$20,859",45,68,"$77,152",134,184,"$273,020",135,185,"$219,642",166,238,"$269,275",276,296,"$306,329"
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"$1,100",,,,1,1,$550,5,10,"$5,400",5,10,"$6,000",5,10,"$6,000",10,18,"$11,700",6,11,"$7,975",,,
,,Scholarship: source unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,159,"$95,396",4,4,"$2,550",1,1,$300,68,117,"$796,032",203,208,"$241,549",350,355,"$487,367"
,Work Study Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,88,"$84,645",51,110,"$135,036",73,174,"$230,046",63,143,"$225,765",23,43,"$63,680",31,56,"$98,423",46,91,"$202,802",52,104,"$262,192",57,102,"$245,396"
,,CalWORKs Work Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,"$1,632",5,10,"$9,328",19,38,"$64,948",15,26,"$48,963",,,,,,,7,11,"$11,932",8,14,"$63,313",4,8,"$16,779"
,,Federal Work Study (FWS) (Federal share),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,84,"$83,013",50,100,"$125,708",68,136,"$165,098",62,117,"$176,802",23,43,"$63,680",31,56,"$98,423",45,80,"$190,870",40,77,"$162,975",57,94,"$228,617"
,,Learning Aligned Employment Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,"$35,904",,,
Coalinga College Total,,,"3,218","12,406","$7,800,410","3,574","13,325","$8,160,132","1,662","6,456","$4,437,277","1,739","6,570","$4,903,933","1,934","6,552","$5,242,233","1,912","6,957","$6,848,662","2,084","7,613","$7,384,708","2,049","7,201","$7,301,610","2,003","6,998","$7,569,315","2,096","7,627","$7,751,663","2,039","7,504","$7,641,228","2,146","8,254","$8,018,866","2,404","8,922","$8,211,819","2,320","8,681","$8,267,357","2,530","9,111","$8,985,693","2,694","8,845","$8,391,930","2,089","6,741","$5,460,902","2,553","8,628","$6,920,966","2,197","8,601","$7,609,675","2,002","7,208","$8,007,068",,,
,California College Promise Grant Total,,"3,073","5,579","$1,445,468","3,425","6,186","$1,544,153","1,570","2,820","$673,570","1,634","2,889","$600,910","1,834","3,104","$653,085","1,823","3,183","$879,830","1,975","3,497","$950,339","1,985","3,516","$1,257,886","1,900","3,248","$1,624,260","1,995","3,641","$1,780,936","1,927","3,590","$1,662,210","2,048","3,718","$1,687,372","2,297","4,242","$1,798,222","2,250","4,086","$1,798,002","2,468","4,466","$2,072,428","2,638","4,809","$1,935,519","2,056","3,691","$1,374,250","1,876","3,208","$1,171,735","1,744","2,945","$1,187,237","1,924","3,480","$1,371,421",,,
,,California College Promise - Method A-? (unknown base),70,104,"$23,333",219,379,"$89,765",127,210,"$41,031",158,272,"$50,600",137,217,"$46,670",156,255,"$60,861",140,235,"$58,617",90,152,"$49,878",47,70,"$35,029",24,42,"$19,688",18,29,"$9,154",4,7,"$2,783",1,1,$413,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,306,457,"$107,783",906,"1,470","$339,469",492,796,"$168,864",511,854,"$166,004",788,"1,263","$259,240",751,"1,284","$334,640",891,"1,549","$405,782",618,"1,011","$318,107",693,"1,064","$497,858",728,"1,291","$593,929",503,851,"$350,497",289,398,"$124,338",482,813,"$165,661",423,586,"$114,977",538,784,"$253,598",659,"1,142","$278,967",542,906,"$174,547",596,903,"$169,188",456,627,"$120,129",536,860,"$163,806",,,
,,California College Promise - Method C based on financial need,"2,698","5,018","$1,314,352","2,301","4,337","$1,114,919",937,"1,787","$455,755",965,"1,763","$384,306",920,"1,624","$347,175",917,"1,644","$484,329",944,"1,713","$485,940","1,277","2,353","$889,901","1,161","2,114","$1,091,373","1,244","2,308","$1,167,319","1,406","2,710","$1,302,559","1,755","3,313","$1,560,251","1,814","3,428","$1,632,148","1,827","3,500","$1,683,025","1,913","3,649","$1,793,461","1,962","3,636","$1,632,080","1,483","2,730","$1,160,212","1,249","2,247","$961,147","1,243","2,241","$1,019,130","1,361","2,563","$1,169,458",,,
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,33,"$25,369",17,31,"$24,472",31,55,"$39,491",31,58,"$41,400",45,77,"$47,978",29,57,"$38,157",,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,15,27,"$7,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,"2,076","6,112","$5,426,005","2,054","6,182","$5,367,243",941,"2,998","$2,860,358",964,"2,969","$3,260,640","1,062","2,679","$3,391,183","1,284","3,026","$4,814,572","1,402","3,473","$5,411,397","1,326","3,057","$4,930,797","1,196","3,019","$4,625,402","1,247","3,209","$4,690,202","1,169","3,028","$4,608,477","1,180","3,618","$4,939,595","1,196","3,734","$4,960,246","1,085","3,853","$5,312,034","1,111","3,938","$5,853,313","1,088","3,604","$5,872,859",809,"2,909","$3,972,732","1,856","5,032","$5,196,730","1,641","5,322","$5,989,822",910,"3,349","$6,164,469",,,
,,Academic Competitiveness Grant,,,,,,,,,,7,14,"$6,075",12,22,"$9,625",,,,3,3,"$1,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"$6,750",2,4,"$10,500",,,
,,Cal Grant B,476,805,"$584,140",474,832,"$604,792",254,417,"$300,372",273,472,"$343,317",240,414,"$297,695",232,396,"$287,625",231,412,"$299,308",221,374,"$274,906",280,493,"$342,504",348,581,"$392,248",310,543,"$417,974",343,588,"$446,133",362,624,"$485,563",359,629,"$497,024",398,693,"$547,371",369,611,"$634,213",219,369,"$381,828",230,375,"$365,340",263,432,"$423,426",296,517,"$523,158",,,
,,Cal Grant C,25,41,"$10,080",28,48,"$12,384",8,14,"$3,528",15,26,"$6,312",12,23,"$5,616",16,24,"$6,264",9,12,"$3,168",5,6,"$1,548",6,10,"$2,532",8,11,"$2,465",10,10,"$2,671",3,4,"$1,095",11,14,"$3,545",8,13,"$6,565",6,9,"$4,376",4,7,"$9,368",3,3,"$4,547",1,2,"$1,094",2,3,"$1,231",,,,,,
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,"$10,500",6,9,"$8,100",8,8,"$8,150",24,24,"$7,536",,,
,,CARE Grant,88,128,"$69,897",73,100,"$69,099",39,60,"$33,750",45,62,"$45,600",,,,,,,3,3,$995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,273,"$138,900","1,830","2,540","$1,329,616","1,569","2,402","$1,218,515",168,261,"$714,139",,,
,,Chafee Grant,4,7,"$15,834",3,3,"$7,500",1,2,"$5,000",1,1,"$2,380",,,,1,1,"$2,500",1,1,"$2,500",,,,,,,,,,1,2,"$5,000",5,9,"$22,500",3,6,"$13,051",2,3,"$7,500",3,6,"$15,000",2,3,"$7,500",,,,,,,2,3,"$7,500",,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,"$27,000",,,,23,23,"$10,169",48,56,"$83,452",,,
,,EOPS Grant,310,417,"$85,177",468,598,"$156,446",222,300,"$173,050",211,256,"$147,700",,,,,,,44,44,"$13,758",30,31,"$12,240",80,90,"$14,800",157,192,"$44,582",146,198,"$40,042",138,209,"$42,687",175,260,"$53,217",228,298,"$62,387",220,324,"$70,225",194,280,"$110,100",174,231,"$60,085",160,227,"$107,360",150,193,"$87,200",136,186,"$55,800",,,
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,450,"$135,000",318,517,"$154,583",324,528,"$373,431",,,,,,,,,,,,,,,,,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,"$42,500",,,,,,
,,Other grant: institutional source,125,199,"$75,667",108,154,"$81,406",77,104,"$48,188",81,117,"$73,027",90,122,"$69,633",84,127,"$72,350",88,115,"$56,706",62,85,"$61,463",58,88,"$59,995",54,84,"$54,922",33,39,"$19,500",61,91,"$67,220",53,82,"$45,982",42,58,"$45,509",36,52,"$44,242",,,,127,127,"$125,000",75,86,"$91,273",26,29,"$16,768",61,80,"$86,212",,,
,,Other grant: non-institutional source,67,105,"$59,550",93,123,"$52,781",1,2,$780,12,12,"$104,492",,,,3,5,"$6,250",1,1,"$1,250",,,,,,,,,,1,1,"$1,250",1,1,$564,,,,,,,,,,1,1,$230,,,,,,,30,30,"$33,084",,,,,,
,,Pell Grant,"1,979","3,267","$4,403,714","1,927","3,232","$4,264,049",915,"1,527","$2,234,754",921,"1,520","$2,482,803","1,024","1,712","$2,969,730","1,265","2,137","$4,389,283","1,384","2,364","$4,974,178","1,314","2,147","$4,518,540","1,189","2,003","$4,138,571","1,206","2,032","$4,133,658","1,133","1,899","$4,054,873","1,130","1,901","$4,151,571","1,139","1,877","$4,133,997","1,029","1,914","$4,237,753","1,048","1,803","$4,225,704","1,045","1,794","$4,276,978",718,"1,248","$2,750,382",714,"1,270","$2,902,256",806,"1,413","$3,370,150",812,"1,372","$3,750,867",,,
,,SEOG (Supplemental Educational Opportunity Grant),858,"1,143","$121,946",649,"1,092","$118,786",394,572,"$60,936",282,489,"$48,934",220,386,"$38,884",192,336,"$50,300",289,518,"$58,134",293,414,"$62,100",184,335,"$67,000",189,309,"$62,327",195,336,"$67,167",253,365,"$72,825",212,354,"$70,308",276,410,"$81,865",279,464,"$92,500",226,393,"$115,200",204,340,"$111,800",160,280,"$120,500",311,404,"$102,640",380,485,"$94,400",,,
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,587,"$853,895",323,515,"$719,270",171,270,"$362,690",158,243,"$271,191",197,305,"$661,739",223,364,"$838,405",,,
,Loans Total,,221,501,"$774,095",217,515,"$799,587",141,339,"$583,484",217,459,"$861,200",234,518,"$1,034,950",255,550,"$1,022,343",230,478,"$903,181",218,524,"$992,506",225,559,"$1,214,100",217,544,"$1,114,540",213,570,"$1,181,517",189,541,"$1,139,383",193,542,"$1,155,525",143,376,"$833,895",123,354,"$794,665",89,222,"$421,075",7,21,"$45,250",58,189,"$310,272",34,86,"$172,250",37,111,"$179,207",,,
,,Federal Direct Student Loan - subsidized,211,349,"$518,192",129,221,"$333,325",,,,,,,,,,,,,221,312,"$601,481",209,327,"$616,742",209,315,"$588,725",209,320,"$671,850",202,321,"$644,298",181,298,"$572,496",181,284,"$547,758",132,198,"$407,315",108,169,"$326,348",84,123,"$214,917",7,11,"$21,250",55,92,"$165,006",31,44,"$101,000",35,58,"$109,170",,,
,,Federal Direct Student Loan - unsubsidized,85,145,"$240,513",67,111,"$188,834",,,,,,,,,,,,,109,138,"$247,450",126,187,"$339,444",162,234,"$585,341",133,213,"$408,066",144,237,"$487,813",123,212,"$461,421",138,222,"$486,348",94,149,"$322,480",95,150,"$324,649",55,82,"$130,263",6,10,"$24,000",57,97,"$145,266",30,42,"$71,250",31,53,"$70,037",,,
,,Other loan: non-institutional source,,,,1,1,"$2,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLUS loan: parent loan for undergraduate student,4,7,"$15,390",,,,4,8,"$27,285",3,4,"$17,025",2,2,"$3,200",2,3,"$9,000",19,28,"$54,250",9,10,"$36,320",7,10,"$40,034",7,11,"$34,624",6,12,"$49,406",18,31,"$105,466",23,36,"$121,419",18,29,"$104,100",19,35,"$143,668",11,17,"$75,895",,,,,,,,,,,,,,,
,,"Stafford Loan, subsidized",,,,83,130,"$197,869",125,205,"$311,721",194,300,"$563,115",221,329,"$677,623",245,355,"$695,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",,,,32,52,"$77,183",79,126,"$244,478",98,155,"$281,060",123,187,"$354,127",142,192,"$317,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,61,80,"$27,273",66,115,"$99,455",56,79,"$115,572",87,133,"$61,312",78,112,"$42,743",60,61,"$5,590",22,23,"$5,750",4,7,"$2,280",44,76,"$21,000",57,114,"$42,222",104,194,"$75,433",102,180,"$75,744",125,227,"$106,808",106,184,"$131,260",106,196,"$81,795",113,146,"$80,364",63,112,"$51,500",77,142,"$137,117",104,208,"$184,179",110,204,"$187,684",,,
,,Scholarship: institutional source,60,78,"$26,773",58,100,"$52,688",10,12,"$10,600",87,133,"$61,312",78,112,"$42,743",60,61,"$5,590",22,23,"$5,750",4,7,"$2,280",44,76,"$21,000",32,64,"$19,192",99,183,"$70,308",96,158,"$62,350",118,212,"$97,073",93,166,"$99,876",88,151,"$53,748",91,97,"$44,843",62,93,"$40,450",43,59,"$18,050",57,99,"$33,950",66,113,"$49,318",,,
,,Scholarship: non-institutional source,1,2,$500,8,15,"$46,767",47,67,"$104,972",,,,,,,,,,,,,,,,,,,25,50,"$23,030",9,11,"$5,125",14,22,"$13,394",13,15,"$9,735",15,18,"$31,384",13,17,"$12,947",9,10,"$12,121",1,1,$250,23,36,"$90,867",50,79,"$131,529",40,60,"$118,391",,,
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,"$15,100",24,39,"$23,400",10,18,"$10,800",36,47,"$28,200",19,30,"$18,700",21,31,"$19,975",,,
,Work Study Total,,90,134,"$127,569",200,327,"$349,694",116,220,"$204,293",66,120,"$119,871",76,139,"$120,272",72,137,"$126,327",62,142,"$114,041",57,97,"$118,141",53,96,"$84,553",62,119,"$123,763",82,122,"$113,591",118,197,"$176,772",107,177,"$191,018",110,182,"$192,166",105,157,"$183,492",41,64,"$82,113",8,8,"$17,170",47,57,"$105,112",32,40,"$76,187",37,64,"$104,287",,,
,,California State Work Study (SWS),,,,,,,,,,6,11,"$7,000",13,19,"$15,744",9,15,"$10,273",10,24,"$15,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),90,134,"$127,569",79,112,"$123,434",32,47,"$32,089",41,60,"$56,077",40,63,"$48,571",51,92,"$90,506",30,58,"$60,110",30,51,"$54,620",43,74,"$65,133",62,104,"$107,407",82,122,"$113,591",118,183,"$163,271",107,162,"$177,091",110,169,"$179,017",105,149,"$174,831",41,59,"$77,212",8,8,"$17,170",47,57,"$105,112",32,40,"$76,187",37,57,"$94,567",,,
,,Other Work Study and matching funds,,,,140,215,"$226,260",106,173,"$172,204",27,49,"$56,794",37,57,"$55,957",19,30,"$25,548",31,60,"$38,373",29,46,"$63,521",16,22,"$19,420",10,15,"$16,356",,,,11,14,"$13,501",12,15,"$13,927",9,13,"$13,149",6,8,"$8,661",3,5,"$4,901",,,,,,,,,,4,7,"$9,720",,,
Coastline Total,,,"4,848","9,879","$3,483,158","6,275","11,602","$3,362,631","7,848","14,593","$3,673,724","9,099","17,224","$4,539,959","10,229","19,621","$5,745,293","8,480","15,496","$7,958,699","8,213","17,856","$11,773,468","9,840","22,203","$16,113,438","10,291","23,082","$17,912,653","13,096","27,952","$18,018,079","14,889","32,159","$21,057,973","14,985","31,572","$20,480,430","13,623","29,421","$18,313,333","12,568","26,843","$15,890,064","13,085","26,455","$15,567,952","11,789","22,574","$14,040,612","9,034","20,604","$12,083,087","7,871","17,164","$11,549,873","7,620","16,429","$10,486,594","8,433","16,549","$10,227,802","8,952","17,795","$11,504,656"
,California College Promise Grant Total,,"4,829","7,629","$1,014,786","6,243","9,673","$1,247,623","7,805","12,481","$1,457,697","8,997","14,802","$1,614,440","10,032","16,724","$1,802,540","8,213","11,558","$1,896,347","7,696","11,873","$2,134,860","9,159","14,487","$3,351,836","9,468","14,345","$4,578,334","12,140","19,441","$5,762,397","13,539","21,924","$6,416,494","13,840","22,340","$6,582,968","12,716","20,386","$5,946,006","11,955","19,706","$5,765,180","12,396","19,616","$5,743,491","11,196","16,375","$4,882,118","8,604","12,539","$3,520,817","7,302","10,590","$2,918,493","7,389","10,766","$2,910,489","8,246","11,874","$3,244,821","8,756","12,764","$3,657,529"
,,BOGW - Mehtod A-4 based on Veteran's or National Guard dependent status,17,27,"$3,471",13,16,"$1,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-? (unknown base),,,,,,,,,,44,44,"$2,670",138,230,"$17,930",111,178,"$25,754",89,147,"$23,114",55,95,"$17,574",20,28,"$8,326",34,49,"$13,156",20,32,"$9,568",29,44,"$16,077",21,34,"$11,132",4,4,$690,,,,2,3,$552,1,1,$92,,,,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,67,126,"$20,851",45,81,"$12,441",34,57,"$8,522",20,26,"$2,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$1,104",1,1,$184,,,,,,,,,,,,,1,2,$966,,,
,,California College Promise - Method A-2 based on SSI recipient status,194,320,"$30,003",184,274,"$27,560",131,220,"$21,414",104,132,"$11,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$276,1,1,$138,,,,,,,,,,,,,,,,1,2,"$1,104"
,,California College Promise - Method A-3 based on general assistance recipient status,3,5,$600,2,2,$169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$184,1,1,$184,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,"1,702","2,648","$320,905","4,506","6,798","$815,035","6,048","9,576","$1,057,285","7,204","12,001","$1,246,670","7,404","12,150","$1,209,370","5,055","6,361","$941,082","3,436","4,789","$729,443","4,080","5,814","$1,049,741","4,290","5,748","$1,486,467","5,716","9,007","$2,191,394","6,631","10,782","$2,597,298","7,176","11,409","$2,888,202","6,742","10,854","$2,724,741","7,013","11,539","$2,924,565","6,451","10,284","$2,710,320","5,267","7,280","$1,997,458","3,305","4,462","$1,027,732","2,898","4,116","$1,000,132","3,014","4,471","$1,048,616","3,196","4,680","$1,135,257","3,599","5,303","$1,385,497"
,,California College Promise - Method C based on financial need,"2,846","4,503","$638,956","1,493","2,502","$390,741","1,582","2,615","$367,820","1,627","2,532","$343,250","2,477","4,295","$572,590","3,039","5,010","$928,141","4,163","6,928","$1,380,691","5,002","8,543","$2,275,690","5,152","8,559","$3,081,425","6,369","10,350","$3,546,163","6,875","11,089","$3,802,360","6,618","10,860","$3,669,719","5,934","9,470","$3,200,197","5,070","8,119","$2,822,445","6,016","9,293","$3,021,487","5,979","9,053","$2,870,469","5,310","8,021","$2,471,879","4,419","6,438","$1,903,503","4,352","6,241","$1,838,781","4,971","7,062","$2,062,345","5,064","7,299","$2,222,444"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"$1,610",2,4,"$2,070",,,,,,,,,,,,,1,1,$598,,,
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"$1,932",6,9,"$6,118",8,14,"$9,752",7,13,"$8,050",13,23,"$15,226",81,111,"$41,239",87,111,"$35,466"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,59,59,"$5,890",13,26,"$2,650",6,7,"$1,136",1,2,$234,4,7,"$1,600",6,10,"$2,116",21,35,"$11,684",15,21,"$7,268",19,27,"$8,970",20,28,"$9,936",24,37,"$14,490",,,,1,1,$644,,,,8,8,"$1,932",,,,,,,,,
,,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,,,,,,,,,,,,,1,1,$252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,10,13,"$2,656",7,8,"$1,540",11,23,$0,2,2,$234,7,7,"$1,378",17,27,"$6,979",,,,,,,,,,,,,,,,,,,24,27,"$7,176",22,28,"$6,693",29,39,"$11,086",12,15,"$4,876",23,31,"$7,866",15,18,"$4,416",32,49,"$13,018"
,,Fee Waiver – Dependent of (children) of Congressional Medal of Honor recipient (CMH) or CMH recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,$276,,,,,,,,,,,,
,Grants Total,,513,"1,746","$1,564,958",465,"1,498","$1,326,719",536,"1,713","$1,517,381",707,"1,962","$1,961,077",898,"2,246","$2,545,297","1,202","3,028","$4,061,728","2,059","4,667","$6,761,190","2,690","5,839","$8,633,385","2,840","6,859","$9,161,758","3,102","6,801","$9,690,395","3,707","8,601","$11,260,228","3,255","7,459","$10,066,441","2,837","7,351","$8,895,731","2,391","5,990","$7,697,805","2,328","5,990","$7,714,922","2,161","5,587","$7,605,765","2,175","7,745","$7,803,784","2,020","6,264","$7,812,671","1,512","5,217","$6,341,383","1,307","4,246","$5,712,408","1,433","4,664","$6,853,785"
,,Academic Competitiveness Grant,,,,,,,3,5,"$2,150",5,8,"$4,650",7,10,"$4,575",9,13,"$5,895",12,18,"$8,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"$2,000",3,5,"$6,600",,,,14,21,"$14,365",22,30,"$22,516",13,20,"$25,809",12,19,"$31,500",10,16,"$25,429",,,
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,"$38,250",8,12,"$24,750",10,16,"$39,000"
,,Cal Grant B,82,141,"$97,134",68,120,"$79,460",75,130,"$84,339",79,136,"$91,127",80,136,"$86,279",82,145,"$97,136",98,172,"$113,035",146,254,"$171,590",162,269,"$169,795",185,314,"$201,767",228,385,"$279,336",275,479,"$354,130",344,580,"$428,366",315,520,"$383,227",280,461,"$336,856",276,458,"$527,987",242,383,"$392,261",289,464,"$460,477",274,419,"$483,600",267,418,"$486,046",291,460,"$484,866"
,,Cal Grant C,15,24,"$5,472",7,12,"$2,376",6,10,"$2,592",7,11,"$2,664",8,16,"$3,672",14,24,"$5,472",14,24,"$5,400",20,34,"$7,560",17,27,"$6,807",22,38,"$8,005",4,7,"$1,504",20,35,"$7,384",20,32,"$7,116",32,49,"$18,914",40,65,"$27,495",55,92,"$78,449",59,104,"$93,411",21,34,"$26,491",1,1,$274,,,,4,4,"$3,957"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,"$7,550",18,30,"$5,226",28,42,"$11,944",39,57,"$23,484",47,71,"$36,240",,,
,,CARE Grant,,,,,,,3,3,"$3,498",,,,,,,,,,,,,4,7,"$3,500",,,,8,13,"$3,690",4,8,"$3,704",5,5,"$3,250",9,11,"$16,550",10,13,"$5,500",6,10,"$4,350",9,13,"$7,688",11,16,"$10,544",15,23,"$7,341",27,45,"$63,160",17,27,"$27,510",,,
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,025","1,132","$844,975","1,255","1,255","$2,603,468",,,,,,,,,
,,Chafee Grant,,,,,,,,,,,,,,,,,,,,,,1,2,"$5,000",,,,1,2,"$5,000",2,4,"$10,000",1,1,"$2,500",1,2,"$5,000",2,4,"$10,000",4,5,"$12,500",6,9,"$22,500",10,15,"$36,667",9,14,"$45,500",6,9,"$22,500",7,10,"$25,000",5,10,"$25,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,26,"$19,500",,,,,,,,,,,,,,,,,,,,,
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"$2,484",,,,1,2,"$1,672",,,,,,,1,1,$828,,,,1,1,$824,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,"$107,111",,,,797,798,"$1,197,000",75,75,"$111,287",,,
,,EOPS Grant,143,143,"$12,250",125,125,"$42,071",136,136,"$18,939",80,80,"$10,000",77,77,"$12,500",16,16,"$1,623",20,20,"$2,000",64,64,"$5,888",46,46,"$12,500",138,276,"$79,150",155,292,"$80,077",182,273,"$90,020",371,581,"$177,733",197,239,"$27,225",236,349,"$35,716",295,332,"$72,850",315,393,"$89,876",373,560,"$96,456",337,592,"$186,399",255,398,"$180,762",227,366,"$179,696"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,297,"$89,053",258,409,"$122,700",220,324,"$161,411",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,"$35,000",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,"$9,534",7,13,"$6,500",4,8,"$4,000",9,18,"$9,000",79,110,"$55,000",84,109,"$54,500"
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,104,"$50,500",48,95,"$46,750",51,91,"$36,627",36,38,"$17,250",7,8,$400,,,,,,,,,
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,"$3,637",,,,,,,40,68,"$17,798",13,13,"$6,970",6,6,"$8,637",1,1,"$1,468",960,"1,083","$1,003,800",28,28,"$25,717",,,,,,,,,
